publishedAt,authorDisplayName,textDisplay,likeCount
2023-12-14T12:32:15Z,@SubadaNgh-ek7kl,"Memgukur siapa yg unggul dlm debat capres,itu bersifat relatif penilaiannya tergantung siapa mendukung siapa, yg mendukung Anies sdh pasti unggulkan Anies, yg dukung Prabowo pasti unggulkan Prabowo, yg dukung Ganjar jelas unggulkan Ganjar, yg paling realistis adalah pd hari H pencobolosan, disitu akan jelas siapa yg unggul.",0
2023-12-14T12:13:43Z,@jufripuri3125,iya tapi apa yang di sampaikan oleh prabowo  dia tidak mau jabatan termsuk presiden.,0
2023-12-14T12:08:59Z,@jannah.pekanbaru9489,No 2 lawan no 1&amp;3..<br>Dikeroyok..gimana cara 02 tumbang di putaran pertama.,0
2023-12-14T12:06:19Z,@nelsonkaban6034,Anies ngomongnya cuma muter muter.... Di teori dan pelaksanaannya cuma bisa di Awang Awang.,0
2023-12-14T12:01:37Z,@halimahmuhammad1122,"dari penampilan pak Anis RASID BASWEDAN, pidatonya lancar da a, e, e o,  langsung lancar, orang cerdas, ماشاءالله تبارك الرحمن اللهم صلي على سيدنا محمد",0
2023-12-14T12:01:28Z,@adeapandi2366,Masa negara kalah dari dulu kalah sama sparitis,0
2023-12-14T11:57:00Z,@imammuslimin496,Berat nih bwt pk anis kata2 nya sama saja senjata makan tuan<br>Berat juga bwt pk ganjar g ada visi dan misi yg nyampek eh malah kebanyakn curhat,0
2023-12-14T11:56:37Z,@indrayatilestari1402,"Debat perdana ini cukup bagus, tapi  tetap Ganjar yang paling realistis dengan apa yang sudah ada dan apa yang akan dilakukan, orang yang suka mendengar dan melayani. Gak masalah semua punya argumen dan gaya masing2, cuma yang agak  mengherankan cawapres no.2 itu yang tiba2 jafi pemandu sorak dan provokator saat debat berlangsung.",3
2023-12-14T11:54:19Z,@samsianizamzam,bismillah pak presiden 2024 Prabowo Gibran bismillah,0
2023-12-14T11:50:36Z,@plang2443,Amin,0
2023-12-14T11:47:06Z,@TOKOHOKKY,"Kalau ada yang mengatakan Prabowo menang debat, mereka termasuk golongan orang orang yang munafik",0
2023-12-14T11:46:32Z,@luay2822,saya pilih pk anis,0
2023-12-14T11:45:26Z,@noobvsnoob6011,"dari semua capres, yang menang pasti 1, <br>ga mungkin 2 atau 3.",0
2023-12-14T11:44:57Z,@abahtana-jm2ij,Lg baca puisi..,0
2023-12-14T11:34:10Z,@user-wm1fs5zg2c,Jsmsn jokowi bsnysk koruptornya,0
2023-12-14T11:30:37Z,@dedeefef3932,"Litbang kompas anies unggul37.9%<br>Prabowo 21,8%<br>Ganjar       22,6%<br>Tidak tau 17,7%<br>Para pengamat:anies bintang nya",0
2023-12-14T11:28:22Z,@rosiahsukardi5360,Mantap pak Anies ... Semoga sukses.,0
